City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Airai,-8.93,125.41,57.36,100,98,4.43,TL,1592332284
Tasiilaq,65.61,-37.64,35.6,92,75,18.34,GL,1592332284
Bredasdorp,-34.53,20.04,53.6,93,0,3.51,ZA,1592332284
Westport,41.14,-73.36,73.0,49,1,12.75,US,1592332284
Mossamedes,-15.2,12.15,72.48,62,0,3.56,AO,1592332285
Chui,-33.7,-53.46,66.38,79,64,7.7,UY,1592332285
Porto,41.15,-8.61,66.99,68,20,6.93,PT,1592332051
Talnakh,69.49,88.4,41.0,86,75,6.71,RU,1592332285
Cururupu,-1.83,-44.87,85.73,62,2,6.64,BR,1592332285
Domoni,-12.26,44.53,75.52,78,100,10.54,KM,1592332285
Lebu,-37.62,-73.65,53.24,89,100,15.68,CL,1592332286
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332286
Nikolskoye,59.7,30.79,69.8,77,100,3.69,RU,1592332286
Carnarvon,-24.87,113.63,57.2,35,0,10.29,AU,1592332247
Skerries,53.58,-6.11,68.0,72,40,4.7,IE,1592332286
St. George's,12.06,-61.75,86.0,66,20,17.22,GD,1592332287
Lompoc,34.64,-120.46,66.99,63,0,14.99,US,1592332280
Mugur-Aksy,50.35,90.5,48.58,78,75,0.43,RU,1592332287
Kapaa,22.08,-159.32,75.2,88,90,17.22,US,1592332287
Bonavista,48.65,-53.11,58.93,51,100,9.93,CA,1592332287
Hithadhoo,-0.6,73.08,84.31,77,0,8.99,MV,1592332288
Salalah,17.02,54.09,87.8,79,75,8.05,OM,1592332288
El Puerto de Santa María,36.59,-6.23,75.2,83,20,19.46,ES,1592332288
Marratxí,39.64,2.75,75.2,73,3,5.82,ES,1592332288
Jamestown,42.1,-79.24,73.4,35,1,4.7,US,1592332288
Banyo,6.75,11.82,68.25,88,100,2.01,CM,1592332289
Isla,15.89,120.3,78.67,84,1,5.53,PH,1592332289
Tiksi,71.69,128.87,49.66,63,11,9.17,RU,1592332289
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332289
Rikitea,-23.12,-134.97,75.38,81,100,14.16,PF,1592332289
Lagoa,39.05,-27.98,65.05,82,4,12.26,PT,1592332290
Hesla,24.07,85.88,78.69,90,100,7.14,IN,1592332290
Ekhabi,53.51,142.97,37.49,95,92,5.19,RU,1592332290
Kiunga,-6.12,141.29,73.6,98,100,3.67,PG,1592332290
Arraial,-22.84,-46.65,77.0,44,40,4.7,BR,1592332290
Atuona,-9.8,-139.03,80.49,76,1,19.91,PF,1592332291
Menongue,-14.66,17.69,56.07,57,0,4.83,AO,1592332291
Tayu,-6.54,111.05,78.53,85,27,5.46,ID,1592332291
Arlit,18.74,7.39,103.14,8,0,16.51,NE,1592332291
Cherskiy,68.75,161.3,70.39,40,55,5.91,RU,1592332291
Avera,33.19,-82.53,68.0,77,90,11.41,US,1592332291
Parakou,9.34,2.63,82.49,70,2,6.42,BJ,1592332292
Burns,43.59,-119.05,51.8,53,90,6.93,US,1592332292
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332292
Saint-Pierre,-21.34,55.48,68.0,72,90,6.93,RE,1592332185
Vaini,-21.2,-175.2,71.6,68,40,11.41,TO,1592332292
Tuktoyaktuk,69.45,-133.04,59.0,54,75,17.22,CA,1592332293
Avarua,-21.21,-159.78,71.6,68,12,9.17,CK,1592332293
Itarema,-2.92,-39.92,82.56,78,48,12.24,BR,1592332293
Mahon,39.89,4.27,71.6,73,40,5.82,ES,1592332293
Hong Kong,22.29,114.16,82.0,74,0,5.99,HK,1592332201
Portland,45.52,-122.68,60.01,77,75,3.36,US,1592331725
Caravelas,-17.71,-39.25,73.29,87,86,11.74,BR,1592332354
Albany,42.6,-73.97,79.0,31,0,2.08,US,1592332109
Makakilo,21.35,-158.09,75.2,94,40,3.36,US,1592332354
Kédougou,12.56,-12.17,92.68,48,100,4.94,SN,1592332354
Pachino,36.72,15.09,73.0,75,0,5.32,IT,1592332355
Bluff,-46.6,168.33,54.39,73,41,16.46,NZ,1592332355
Blackwater,-23.58,148.88,57.31,74,0,11.39,AU,1592332355
Anadyr,64.75,177.48,53.6,62,0,6.71,RU,1592332355
Mataura,-46.19,168.86,47.91,80,100,5.59,NZ,1592332355
Castro,-24.79,-50.01,68.29,69,60,4.94,BR,1592332355
Yellowknife,62.46,-114.35,60.8,55,20,20.8,CA,1592332251
Lerwick,60.15,-1.15,59.0,93,0,5.82,GB,1592332356
Esperance,-33.87,121.9,50.0,71,0,14.99,AU,1592332356
Grand,38.88,-109.5,86.0,9,1,16.11,US,1592332356
Barrow,71.29,-156.79,37.4,72,1,16.11,US,1592332357
Mīrābād,30.44,61.84,89.69,10,0,4.36,AF,1592332357
Busselton,-33.65,115.33,57.99,58,64,18.41,AU,1592332222
Ilulissat,69.22,-51.1,42.8,48,40,10.29,GL,1592332357
Padang,-0.95,100.35,78.84,79,97,4.83,ID,1592332357
Zhigansk,66.77,123.37,54.48,77,62,6.73,RU,1592332358
Leh,34.17,77.58,55.06,38,0,4.45,IN,1592332358
Cape,-36.41,-71.9,53.6,100,90,17.22,CL,1592332358
Sur,22.57,59.53,89.87,57,3,14.18,OM,1592332358
Brownfield,33.18,-102.27,89.01,30,0,3.0,US,1592332359
Srīvardhan,18.03,73.02,77.95,93,100,10.51,IN,1592332359
Bambous,-20.26,57.41,71.6,73,40,11.41,MU,1592332359
Wilmington,34.23,-77.94,71.01,100,90,14.99,US,1592332093
Torbay,47.67,-52.73,71.01,37,20,16.11,CA,1592332359
Butaritari,3.07,172.79,83.12,79,0,13.8,KI,1592332359
Tautira,-17.73,-149.15,80.6,78,40,12.75,PF,1592332360
Vardø,70.37,31.11,46.4,70,75,21.92,NO,1592332360
Zyryanka,65.75,150.85,69.93,49,46,8.34,RU,1592332360
Kieta,-6.22,155.63,78.12,78,100,1.07,PG,1592332361
Karpinsk,59.77,60.01,61.41,71,0,9.04,RU,1592332361
Rio,38.3,21.78,71.6,68,20,4.7,GR,1592332361
San,13.3,-4.9,97.79,26,33,14.7,ML,1592332361
Hermanus,-34.42,19.23,55.0,82,0,7.2,ZA,1592332362
Dongning,44.06,131.12,59.2,78,28,5.14,CN,1592332362
Mar,43.4,-4.01,62.6,77,75,14.99,ES,1592332362
Hobart,-42.88,147.33,42.01,74,5,5.82,AU,1592332086
Ust-Maya,60.42,134.53,51.76,75,0,1.61,RU,1592332362
Constitución,-35.33,-72.42,55.65,93,100,13.35,CL,1592332362
Bathsheba,13.22,-59.52,87.8,62,40,20.8,BB,1592332363
Houma,29.6,-90.72,90.0,52,40,6.93,US,1592332363
Rosarito,32.33,-117.03,69.8,68,40,5.82,MX,1592332257
Saint Paul Harbor,57.79,-152.41,50.0,93,90,10.29,US,1592332364
Manaus,-3.1,-60.02,87.8,70,75,4.7,BR,1592332364
Lukiv,51.05,25.4,69.01,88,100,7.29,UA,1592332364
Saint-Joseph,-21.37,55.62,68.0,72,90,6.93,RE,1592332424
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332424
Vega,35.24,-102.43,89.01,27,40,21.92,US,1592332424
Castro,-24.79,-50.01,68.29,69,60,4.94,BR,1592332425
Kaeo,-35.1,173.78,55.0,3,21,1.99,NZ,1592332395
Bowen,-20.02,148.23,70.0,88,1,3.36,AU,1592332425
Severo-Kuril'sk,50.68,156.12,41.61,90,100,11.5,RU,1592332425
Kahului,20.89,-156.47,78.8,78,40,14.99,US,1592332339
Brae,60.4,-1.35,59.0,87,0,9.17,GB,1592332426
Sao,20.51,76.21,78.31,76,100,12.84,IN,1592332426
Bargi,22.98,79.87,85.68,62,100,8.57,IN,1592332426
Antigonish,45.62,-62.0,77.0,44,0,4.0,CA,1592332426
Bethel,41.37,-73.41,78.01,40,1,12.75,US,1592332427
Pitimbu,-7.47,-34.81,80.6,78,75,11.41,BR,1592332427
Kendari,-3.94,122.5,74.14,93,10,2.86,ID,1592332427
Ushuaia,-54.8,-68.3,37.4,86,40,4.7,AR,1592332284
Cece,46.77,18.63,62.24,90,100,7.67,HU,1592332427
Aykhal,66.0,111.5,48.2,66,100,4.47,RU,1592332428
Askarovo,53.34,58.51,62.6,48,20,6.71,RU,1592332428
Norsup,-16.07,167.38,78.8,83,40,8.05,VU,1592332428
Nantucket,41.28,-70.1,68.0,56,1,18.34,US,1592332345
Khokhlovo,59.15,37.4,69.8,83,40,1.28,RU,1592332428
San,13.3,-4.9,97.79,26,33,14.7,ML,1592332428
San,13.3,-4.9,97.79,26,33,14.7,ML,1592332429
Sitka,57.05,-135.33,51.8,81,75,9.17,US,1592332429
Songea,-10.68,35.65,68.0,52,20,3.31,TZ,1592332429
Pisco,-13.7,-76.22,66.2,77,90,4.7,PE,1592332429
Egvekinot,66.32,-179.17,56.01,48,0,0.85,RU,1592332430
Faya,18.39,42.45,78.8,47,5,4.23,SA,1592332430
Krasnosel'kup,65.7,82.47,40.21,72,100,4.47,RU,1592332430
Yurimaguas,-5.9,-76.08,87.8,62,40,5.82,PE,1592332430
Khani,41.96,42.96,73.4,73,75,4.7,GE,1592332430
Dikson,73.51,80.55,32.45,93,100,13.76,RU,1592332431
Norman,35.22,-97.44,90.0,40,40,11.41,US,1592332431
Saint-Philippe,-21.36,55.77,68.0,72,90,6.93,RE,1592332431
Lüderitz,-26.65,15.16,78.8,8,0,12.75,NA,1592332431
East,65.0,-15.0,59.0,51,75,8.05,IS,1592332431
North,50.33,3.67,71.6,60,44,10.29,FR,1592332432
Punta,8.99,125.34,77.2,83,54,4.34,PH,1592332432
Fort,52.65,6.39,71.01,68,56,2.59,NL,1592332432
San,13.3,-4.9,97.79,26,33,14.7,ML,1592332429
Geraldton,-28.77,114.6,51.8,36,0,16.11,AU,1592332237
Chapada,-28.89,-50.36,65.75,76,5,4.81,BR,1592332432
Vila,42.03,-8.16,61.0,75,93,7.0,PT,1592332433
Cidreira,-30.18,-50.21,64.99,84,0,11.88,BR,1592332433
Kruisfontein,-34.0,24.73,52.32,92,0,5.53,ZA,1592332433
Adrar,20.5,-10.07,105.78,10,0,16.2,MR,1592332433
Chokurdakh,70.63,147.92,75.54,35,9,8.28,RU,1592332433
Tommot,58.96,126.29,49.42,84,0,3.18,RU,1592332434
Thompson,55.74,-97.86,77.0,36,75,11.41,CA,1592332434
Añisoc,1.87,10.77,71.89,94,100,1.01,GQ,1592332494
El Puerto de Santa María,36.59,-6.23,75.2,83,20,19.46,ES,1592332494
Naze,28.37,129.48,77.0,100,75,14.99,JP,1592332495
Korla,41.76,86.15,82.99,48,28,1.99,CN,1592332495
San,13.3,-4.9,97.79,26,33,14.7,ML,1592332429
Meulaboh,4.14,96.13,77.74,81,100,4.54,ID,1592332495
Telimele,10.92,-13.33,79.39,82,98,2.73,GN,1592332495
Praia,14.92,-23.51,86.0,70,0,10.29,CV,1592332496
Kulashi,42.2,42.35,73.4,73,75,4.7,GE,1592332496
Katsuura,35.13,140.3,71.6,73,34,11.41,JP,1592332496
San Miguel de Tucumán,-26.82,-65.22,73.4,46,14,6.93,AR,1592332496
Mandiana,10.63,-8.68,86.38,56,7,6.02,GN,1592332496
Saskylakh,71.92,114.08,51.03,53,0,11.77,RU,1592332497
Fukuechō,32.69,128.84,72.7,73,100,4.32,JP,1592332497
Auki,-8.77,160.7,78.64,86,95,4.07,SB,1592332498
Kavieng,-2.57,150.8,83.98,69,49,8.97,PG,1592332498
Gravdal,68.12,13.5,53.6,66,0,13.87,NO,1592332498
Nouadhibou,20.93,-17.03,84.2,45,0,10.29,MR,1592332498
Hilo,19.73,-155.09,75.2,83,90,8.05,US,1592332264
Qaanaaq,77.48,-69.36,40.35,71,0,2.39,GL,1592332499
Longyearbyen,78.22,15.64,41.0,65,20,8.05,SJ,1592332398
Ponta,38.73,-28.27,69.8,68,20,4.7,PT,1592332499
Quelimane,-17.88,36.89,69.01,72,20,3.36,MZ,1592332499
Dingle,11.0,122.67,77.4,79,96,4.21,PH,1592332500
Sittwe,20.15,92.9,82.9,86,100,13.15,MM,1592332500
Adré,13.47,22.2,82.67,34,91,7.65,TD,1592332500
Khatanga,71.97,102.5,49.8,65,86,11.01,RU,1592332500
Sakakah,29.97,40.21,91.4,14,0,8.05,SA,1592332500
Pergamino,-33.89,-60.57,77.0,67,45,1.99,AR,1592332501
Lavrentiya,65.58,-171.0,49.86,57,0,2.89,RU,1592332501
George Town,5.41,100.34,82.4,94,20,3.36,MY,1592332338
Touros,-5.2,-35.46,77.0,94,75,8.05,BR,1592332501
Taoudenni,22.68,-3.98,105.93,7,0,10.63,ML,1592332501
Codrington,-38.27,141.97,49.95,66,100,4.56,AU,1592332501
Buraidah,26.33,43.98,96.8,19,96,9.17,SA,1592332360
Sabha,27.04,14.43,83.05,15,0,10.94,LY,1592332347
Igrim,63.19,64.42,50.85,94,99,9.08,RU,1592332326
Husavik,66.04,-17.34,55.4,50,40,12.75,IS,1592332502
Nuuk,64.18,-51.72,39.2,85,75,21.92,GL,1592332502
Vila,42.03,-8.16,61.0,75,93,7.0,PT,1592332502
Kaitangata,-46.28,169.85,48.15,84,100,4.76,NZ,1592332503
El Puerto de Santa María,36.59,-6.23,75.2,83,20,19.46,ES,1592332503
Eyl,7.98,49.82,87.42,48,92,21.3,SO,1592332503
Pevek,69.7,170.31,44.67,68,100,1.59,RU,1592332503
Ginir,7.13,40.7,57.85,97,2,6.69,ET,1592332503
Alta,69.97,23.27,50.0,57,4,8.05,NO,1592332504
Fallon,39.47,-118.78,73.0,24,40,3.36,US,1592332504
Upington,-28.45,21.26,55.4,17,0,3.36,ZA,1592332221
Waitati,-45.75,170.57,59.0,54,100,11.99,NZ,1592332504
Cascais,38.7,-9.42,70.0,64,20,12.75,PT,1592332504
Alcañiz,41.05,-0.13,68.41,54,0,12.8,ES,1592332564
Mahébourg,-20.41,57.7,71.6,73,40,11.41,MU,1592332565
Tarko-Sale,64.92,77.78,48.0,86,100,7.07,RU,1592332565
Marzuq,14.4,46.47,89.47,27,100,2.75,YE,1592332565
Mount,53.66,-1.85,71.01,79,93,1.99,GB,1592332565
Saldanha,-33.01,17.94,57.2,62,0,3.36,ZA,1592332565
Tigil',57.8,158.67,53.94,51,0,2.64,RU,1592332566
Nadvoitsy,63.87,34.32,48.45,74,44,6.64,RU,1592332566
Abhā,18.22,42.51,78.8,47,5,4.65,SA,1592332566
Rio,38.3,21.78,71.6,68,20,4.7,GR,1592332452
Isangel,-19.55,169.27,73.33,81,2,13.13,VU,1592332566
Andenes,69.31,16.12,46.4,75,20,14.99,NO,1592332293
Christiana,-27.91,25.16,39.52,88,0,9.22,ZA,1592332567
Palmas,-10.21,-48.36,89.6,40,40,12.75,BR,1592332525
Tuatapere,-46.13,167.68,49.48,85,18,5.91,NZ,1592332567
Zheleznodorozhnyy,55.75,38.0,79.0,68,3,2.24,RU,1592332567
Laguna,38.42,-121.42,75.99,40,1,6.93,US,1592332567
Acajutla,13.59,-89.83,89.6,49,40,2.24,SV,1592332567
Glushkovo,51.34,34.63,65.1,86,0,9.82,RU,1592332568
Oranjestad,12.52,-70.03,89.6,66,75,25.28,AW,1592332335
Hualmay,-11.1,-77.61,68.4,66,10,11.45,PE,1592332568
Mehamn,71.04,27.85,42.8,87,75,21.92,NO,1592332408
Bardsīr,29.92,56.57,84.2,10,20,9.17,IR,1592332568
Tiarei,-17.53,-149.33,80.6,78,40,12.75,PF,1592332521
Meybod,32.25,54.02,87.8,12,20,4.7,IR,1592332569
Baghdad,33.34,44.4,95.0,17,0,10.29,IQ,1592332495
Waddān,29.16,16.14,78.76,27,0,16.06,LY,1592332569
Iqaluit,63.75,-68.51,39.2,69,75,5.82,CA,1592332569
Kapit,2.02,112.93,74.35,94,100,0.67,MY,1592332569
Roscommon,53.63,-8.18,55.99,68,100,10.0,IE,1592332570
Somerset,40.57,-74.55,78.8,39,1,8.05,US,1592332459
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332286
Sisimiut,66.94,-53.67,38.35,76,100,6.71,GL,1592332570
Spas-Demensk,54.41,34.02,65.46,86,49,5.61,RU,1592332570
Vysokogornyy,50.12,139.15,40.15,94,100,3.09,RU,1592332570
Paka,4.64,103.44,77.0,94,98,2.24,MY,1592332571
Lethem,3.38,-59.8,87.53,63,89,1.19,GY,1592332571
Kavaratti,10.57,72.64,84.6,78,100,19.26,IN,1592332571
Chapais,49.78,-74.85,78.8,27,1,14.99,CA,1592332571
Samarai,-10.62,150.67,79.83,82,100,19.22,PG,1592332571
New,6.65,-10.59,82.4,83,75,9.17,LR,1592332316
Safi,32.3,-9.24,72.01,64,59,21.07,MA,1592332572
Makkah al Mukarramah,21.43,39.83,91.58,26,16,5.93,SA,1592332523
Vozdvizhenka,43.9,131.95,59.0,100,0,4.47,RU,1592332572
Luxeuil-les-Bains,47.82,6.37,64.4,72,100,5.82,FR,1592332572
Yenangyaung,20.47,94.88,81.61,75,100,17.72,MM,1592332573
Provideniya,64.38,-173.3,55.54,49,41,1.57,RU,1592332573
Alice,27.75,-98.07,86.0,83,75,13.87,US,1592332573
Shakiso,5.75,38.92,59.32,92,89,2.06,ET,1592332573
West,31.8,-97.09,90.0,43,5,6.93,US,1592332573
Kilinochchi,9.4,80.4,82.71,78,100,14.76,LK,1592332634
Cabatuan,10.88,122.49,77.38,79,91,4.85,PH,1592332634
Ribeira,42.75,-8.44,62.01,82,75,10.29,ES,1592332634
Spornoye,50.84,37.29,71.6,37,0,8.95,RU,1592332634
Linares,-35.85,-71.6,52.65,95,100,5.21,CL,1592332635
Baykit,61.67,96.37,43.34,85,100,2.3,RU,1592332635
Saint-François,46.42,3.91,68.0,56,88,14.99,FR,1592332635
Salem,11.65,78.17,77.74,74,100,3.58,IN,1592332416
Kandava,57.04,22.77,59.72,91,48,4.74,LV,1592332635
Mys,62.06,48.62,49.91,84,98,9.69,RU,1592332635
Vestmannaeyjar,63.44,-20.27,50.0,76,75,13.87,IS,1592332636
Bushehr,28.97,50.84,91.4,52,0,18.34,IR,1592332636
Deputatsky,69.3,139.9,61.81,54,100,6.87,RU,1592332636
Atkarsk,51.87,45.01,60.39,66,100,3.89,RU,1592332636
Hirara,24.8,125.28,83.53,82,100,18.77,JP,1592332636
Limpapa,7.12,121.91,80.6,94,75,1.12,PH,1592332637
Homer,59.64,-151.55,55.4,62,90,6.93,US,1592332444
Upernavik,72.79,-56.15,32.31,94,52,7.78,GL,1592332637
Tromsø,69.65,18.96,48.2,66,2,4.7,NO,1592332421
Ilhabela,-23.78,-45.36,70.84,79,19,11.27,BR,1592332637
Tara,56.89,74.37,52.75,77,33,5.75,RU,1592332638
Lata,40.16,-8.33,66.99,71,0,8.14,PT,1592332638
